country,County,Post_Town,sub_industry,industry,sector,employee_range,turnover_range,company_age,head_office_country,SIC_CODE
England,Cambridgeshire,Ely,Accounting,Accounting,Professional Services,200 to 499,25M to 50M,20,England,4104
Scotland,Lanarkshire,Glasgow,Accounting,Accounting,Professional Services,500 to 999,2.5M to 5M,18,United Kingdom,4187
England,London,London,Accounting,Accounting,Professional Services,Unclassified,25M to 50M,21,England,4197
England,Derbyshire,Derby,Accounting & Bookkeeping Services,Accounting,Professional Services,6 to 10,100K to 250K,13,United Kingdom,4191
England,London,London,Acoustical Consultants,Engineering Services,Professional Services,6 to 10,Upto 100K,15,England,4128
England,Buckinghamshire,High Wycombe,Acoustical Consultants,Engineering Services,Professional Services,11 to 19,2.5M to 5M,28,England,4158
Scotland,Lanarkshire,Glasgow,Airline Ticket Agencies,Travel Arrangements,Administrative and Support Services,200 to 499,50M to 100M,46,,4177
England,Suffolk,Saxmundham,Antique Dealers,Retail Art Dealers,Retail,1000 to 5000,Upto 100K,59,England,4126
England,Cambridgeshire,Cambridge,Architectural Services,Architecture and Planning,Professional Services,100 to 199,5M to 10M,43,England,4122
England,London,London,Beauty Products,Retail Health and Personal Care Products,Retail,20 to 49,5M to 10M,33,England,4182
England,Surrey,Woking,Book Publishers,Printing Services,Manufacturing,Unclassified,250K to 500K,28,United Kingdom,4163
Scotland,Midlothian,Loanhead,Business Centres,Real Estate,Real Estate and Equipment Rental Services,6 to 10,Upto 100K,7,,4165
England,London,London,Business Management Consultants,Business Consulting and Services,Professional Services,6 to 10,Upto 100K,7,England,4106
England,Nottinghamshire,Nottingham,Careers Advice,Professional Training and Coaching,Education,11 to 19,Upto 100K,12,England,4125
Wales,Clwyd,Ruthin,Civil Engineers,Civil Engineering,Construction,200 to 499,50M to 100M,54,Wales,4193
England,Kent,Rochester,Commercial Cleaning Services,Facilities Services,Administrative and Support Services,20 to 49,1M to 2.5M,22,England,4192
England,East Sussex,Bexhill On Sea,Community Networks,"Technology, Information and Internet","Technology, Information and Media",Unclassified,Upto 100K,27,England,4110
England,Essex,Upminster,Computer Consultants,IT Services and IT Consulting,Professional Services,11 to 19,1M to 2.5M,15,England,4184
England,London,London,Computer Systems & Software (Development),IT Services and IT Consulting,Professional Services,50 to 99,2.5M to 5M,12,England,4115
England,Oxfordshire,Oxford,Computer Systems & Software (Development),IT Services and IT Consulting,Professional Services,50 to 99,5M to 10M,26,England,4123
England,Northamptonshire,Northampton,Computer Systems & Software (Development),IT Services and IT Consulting,Professional Services,11 to 19,250K to 500K,26,England,4131
England,Cambridgeshire,St Ives,Computer Systems & Software (Development),IT Services and IT Consulting,Professional Services,50 to 99,Unclassified,20,England,4162
England,London,London,Concierge Services,Business Consulting and Services,Professional Services,Unclassified,10M to 25M,24,England,4156
England,West Midlands,Birmingham,Construction,Building Construction,Construction,20 to 49,250K to 500K,11,England,4155
England,West Yorkshire,Cleckheaton,Construction Contractors/builders,Building Construction,Construction,1000 to 5000,Upto 100K,88,England,4130
England,London,London,Corporate Entertainment Agency,Events Services,Administrative and Support Services,20 to 49,10M to 25M,9,England,4118
England,North Humberside,Hull,Counselling & Advice,Individual and Family Services,Hospitals and Health Care,1 to 5,100K to 250K,78,England,4180
Scotland,Lanarkshire,Glasgow,Dairies,Food and Beverage Manufacturing,Manufacturing,100 to 199,Upto 100K,27,Scotland,4135
England,East Sussex,Heathfield,Demolition & Dismantling Contractors,Building Construction,Construction,6 to 10,2.5M to 5M,19,England,4134
England,London,London,Education Agencies & Authorities,Public Policy Offices,Government Administration,50 to 99,2.5M to 5M,6,England,4164
England,Nottinghamshire,Nottingham,Educational Equipment & Supplies,Retail Office Supplies and Gifts,Retail,50 to 99,5M to 10M,16,England,4157
England,Devon,Exeter,Educational Services,Professional Training and Coaching,Education,1 to 5,Upto 100K,15,England,4154
England,Nottinghamshire,Nottingham,Educational Training Providers,Professional Training and Coaching,Education,200 to 499,10M to 25M,13,England,4103
England,London,London,Educational Training Providers,Professional Training and Coaching,Education,20 to 49,250K to 500K,26,England,4198
England,Kent,Erith,Elevator Maintenance Services/servicing & Repairs,Repair and Maintenance,Consumer Services,6 to 10,25M to 50M,16,United Kingdom,4189
Scotland,Lanarkshire,Glasgow,Employment & Recruitment Agencies,Staffing and Recruiting,Administrative and Support Services,20 to 49,1M to 2.5M,12,Scotland,4117
England,Nottinghamshire,Newark,Employment & Recruitment Agencies,Staffing and Recruiting,Administrative and Support Services,20 to 49,2.5M to 5M,17,England,4150
England,West Sussex,Horsham,Energy Management Control Systems,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing,100 to 199,50M to 100M,14,England,4139
England,London,London,Financial Planning & Investment Management Companies,Capital Markets,Financial Services,200 to 499,500K to 1M,9,England,4166
England,London,London,Financial Services,Capital Markets,Financial Services,1 to 5,100K to 250K,12,,4183
Scotland,Lanarkshire,Glasgow,Flooring Services,Specialty Trade Contractors,Construction,11 to 19,10M to 25M,38,United Kingdom,4119
England,Lancashire,Manchester,Freight Service,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage",200 to 499,25M to 50M,30,England,4129
England,South Yorkshire,Sheffield,Gas Engineers,Engineering Services,Professional Services,200 to 499,50M to 100M,52,England,4133
England,Lancashire,Chorley,General Dentistry,Medical Practices,Hospitals and Health Care,1 to 5,500K to 1M,19,England,4113
Northern Ireland,County Antrim,Belfast,Golf Courses & Clubs,Recreational Facilities,Entertainment Providers,6 to 10,100K to 250K,30,United Kingdom,4148
England,Avon,Bath,Graphic Design,Design Services,Professional Services,11 to 19,100K to 250K,8,England,4167
